1,若竹煮,38,2.4,2,20,https://www.mizkan.co.jp/ouchirecipe/recipe/?menu_id=000001/
5,親子手巻きずし　鶏とたまご,707,2.5,4,20,https://www.mizkan.co.jp/ouchirecipe/recipe/?menu_id=000005/
6,コロコロ野菜のミニトマトのピクルス,52,1,2,10,https://www.mizkan.co.jp/ouchirecipe/recipe/?menu_id=000006/
7,コロコロ野菜とミニトマトのピクルス,63,1.8,2,10,https://www.mizkan.co.jp/ouchirecipe/recipe/?menu_id=000007/
8,コロコロ野菜の春キャベツのピクルス,50,1,2,10,https://www.mizkan.co.jp/ouchirecipe/recipe/?menu_id=000008/
9,コロコロ野菜と春キャベツのピクルス,60,1.8,2,10,https://www.mizkan.co.jp/ouchirecipe/recipe/?menu_id=000009/
10,コロコロ野菜とコーンのピクルス,59,1.1,2,10,https://www.mizkan.co.jp/ouchirecipe/recipe/?menu_id=000010/
13,コロコロ野菜とコーンのピクルス,69,1.9,2,10,https://www.mizkan.co.jp/ouchirecipe/recipe/?menu_id=000013/
