料理名,エネルギー,塩分,想定人数,材料,分量,手順
びっくり！ピラフいなり弁当      ,369 kcal,3.5 g,1人分,味の素冷凍食品KK「具だくさんエビピラフ」,1/4袋,1耐熱容器に「エビピラフ」を入れ、ラップをかけて表示通りに電子レンジで加熱する。
,,,,味の素冷凍食品KK「プリプリのエビシューマイ」,2個,2「プリプリのエビシュ－マイ」は表示通り電子レンジで加熱し、串に刺す。
,,,,油揚げ,1枚,3油揚げは熱湯をかけて油抜きし、半分に切って袋状にする。
,,,,「ほんだし」,小さじ1/3,4鍋に「ほんだし」、Ａを入れて煮立て、（３）の油揚げを加えて煮る。
,,,,砂糖,大さじ1,5（４）の油揚げに（１）の「エビピラフ」を入れ、形を整え、ピラフいなりを作る。
,,,,しょうゆ,小さじ2,6お弁当箱に（５）のいなり、（２）の「プリプリのエビシュ－マイ」、ミニトマト、サラダ菜を詰める。
,,,,水,1/2カップ
,,,,ミニトマト,2個
,,,,サラダ菜,1枚
,,,,
